id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
UCDcJNxWQA-GZGkPVleBMyXA,15,,false,,13461,350,874794
UCXGxtu_vJ70OEtyyMilp8Tg,35,,false,,6804,318,694130
UCUgk4nAoKg7yeARuc-Atypw,0,,false,,8110,55,826743
UCf7l8nKFqlnXsEKnozrEpjw,0,,false,,13992,376,1089018
UCbjD_kDAzD72iFZR5bbwUnw,0,,false,,2992,72,242489
UCCAqOZdkmfHglaSegbgUmaQ,0,,false,,6841,229,668692
UCtuxf3iNBuOagYEriQU4jSA,0,,false,,2148,81,90641
UCHJuQZuzapBh-CuhRYxIZrg,0,,false,,91723,3083,56511521
UCVmj0lph3HshweIdYRMbR2A,2,,false,,28443,172,1573249
UCM8J7Nte40r2iCsQtWCHpnw,2,,false,,794,27,50319
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ukzvCOiNEl0,0,0,,11,,,180
67CBkUJRKIQ,7,1,,11,,,124
oU5hxrnm6LA,38,10,,103,,,4930
vtrZjHZz6VU,8,1,,29,,,396
fCH42eWomIg,75,10,,102,,,2017
lFVOAfEgXqA,16,0,,74,,,943
xlpRwVJXMpk,59,2,,124,,,1604
hO6MQYGkxPw,36,1,,116,,,2792
bSeHuOrAPlE,9,0,,18,,,165
79KpWjL3T7M,4,0,,48,,,583
UCldfgbzNILYZA4dmDt4Cd6A,144,,false,,446742,9042,273743893
UCyRdGzPQvaM1_kbkG_lmPcA,0,,false,,2444,23,73778
UCIXgNXLLv5i8Vs3IvzkGO9Q,0,,false,,46154,139,3543908
UCpyW-wMHeVPeF96LbCx0Wxg,0,,false,,1384,223,345930
UCIajto4hxDSFXzEZTp2TWGQ,0,,false,,74,70,10892
UCrJC_Rhh56YpfY-W1vaAopQ,0,,false,,1085,36,281783
UCED4OsJU2U1VzreAKWib-Rg,0,,false,,249,285,135248
UCSodBzhlMBMpmsM8USqp2pg,0,,false,,13,1,187
UCPk3orNc1nmPMowSLWHamvg,0,,false,,145,23,14809
UCBV3iylECUCCa720k55aQRA,0,,false,,8,9,817
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
15Bp1vth9eg,0,0,,5,,,187
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
aetZv1giJvE,0,0,,0,,,7
ZsAf1yESSkw,1,0,,12,,,278
JSHraMIqhA0,1,0,,4,,,55
p_Ut1hUKZ_Q,4,0,,2,,,11
Q3K7fBTwrL0,0,0,,2,,,18
,,,,,,,
QTKTir-HIpg,43,24,,315,,,5941
gBh8jL7ARJ0,9,0,,11,,,2065
_oz0YcHKWJY,0,0,,1,,,9
Sh5HX389YDI,740,34,,1467,,,22403
UCyVxsIDy6N2cpXiMScqecmw,0,,false,,14176,70,2303789
UCVeLO36-fnfoRDsqZtmkXEw,2,,false,,435,190,176762
UCAlfeUQBAi3zhRUS5JrRaAQ,195,,false,,91988,155,59785270
UCA4zt1lN7jUIXQ9HTOx_Azg,2,,false,,4166,69,786529
UCn88YiAaOw8ZeMALKs1Ov8w,0,,true,,0,354,8430600
UCI4obcgCW4WWMtuiGr3yQVQ,121,,false,,6967,218,1620522
UChwynTHI9d3omFf0m542V_w,24,,false,,93,141,16618
UCAobN3-KryDM5PFX5P5yIOw,0,,false,,1774,111,79851
UCDDmSfu3mRu6JvJpPR6oNow,0,,false,,1,3,242
UCx06npnsIHoJsvCDVActPXg,0,,false,,1302,420,1539490
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
KeNkB5-AXsc,0,0,,2,,,244
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6TnwUf61-OM,13,36,,21,,,414493
AOW8R18KBOM,0,3,,7,,,8349
gKosyiSXDwM,4,5,,39,,,896
5xGRiGMZypI,1,1,,4,,,90
DQeW-iysfX8,42,1,,106,,,1769
PuwwcVaYDJQ,0,0,,2,,,20
h4Yc6IwXt4U,0,0,,2,,,25
t07J_0-sl8E,6,0,,5,,,152
KpJVFWIP6Nc,0,0,,0,,,36
UCfPhyExfcaqJBKc3HO3cNBw,261,,false,,1624224,3719,1178600660
UC1STjuGMAzbdmv0YRyAkl1w,0,,false,,5484,61,367716
UCtk95ovBZbBKYfxIg8RQCSw,129,,false,,314826,352,37181706
UCpLT_6_1ssZzhYPewAlk8Hg,0,,false,,1797,44,85268
UCZblNdFGEoSx9qW9V96t39w,0,,true,,0,240,1218115
UCLkWYVKO-gPqAa2xhz4PTLg,0,,false,,965,797,542551
UCYOWtfCNpen_eJ1_kouupQg,0,,false,,141,75,11911
UC_RXavjJFnqrHPnZkX_0R3Q,73,,false,,176,7,6389
UCtR5lJrLgVtiJdL0WB_VfAg,0,,false,,777,75,31986
UCmW6hn9XhhrGjxvlYWI-puQ,0,,false,,402,88,49816
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1D2LjduKtxs,1,0,,5,,,38
,,,,,,,
,,,,,,,
GWjJ-tGyAwY,10,0,,31,,,328
WsKKP4MPxrA,14,8,,205,,,4481
ADgJ8dk5yfk,15,242,,4314,,,142482
S-cAUihKepM,40,,,,,,806
wAgBxZiZE68,40,10,,451,,,7834
VhvrO_no-Mk,0,0,,0,,,22
bp13OPvzX80,2,0,,2,,,16
6kpmL2FL0bw,10,0,,5,,,82
4MwcMyvJzCc,22,3,,95,,,2012
UC9k-yiEpRHMNVOnOi_aQK8w,0,,false,,721780,7210,1032639360
UChNN7VBxPTiNrqjUaQd9bxA,1,,false,,451297,431,34365015
UCfHRX7ihY8WnSV53NnpKOvQ,423,,false,,151814,7712,308495373
UCBA15-oeArLqwZ7Wceyk7hw,231,,false,,192628,1530,44113594
